Vehicle_ID,Total_Frames,v_length,v_Vel,v_Acc,Space_Headway,actual_space
1898,260,3.9624,9.613392,0,11.75004,7.78764
1898,260,3.9624,9.613392,0,11.90244,7.94004
1898,260,3.9624,9.613392,0,12.07008,8.10768
1898,260,3.9624,9.613392,0,12.198096,8.235696
1898,260,3.9624,9.613392,0,12.28344,8.32104
1898,260,3.9624,9.613392,1.70688,12.286488,8.324088
1898,260,3.9624,9.78408,1.2192,12.304776,8.342376
1898,260,3.9624,9.906,1.18872,12.347448,8.385048
1898,260,3.9624,10.024872,1.58496,12.432792,8.470392
1898,260,3.9624,10.183368,1.95072,12.536424,8.574024
1898,260,3.9624,10.37844,1.95072,12.66444,8.70204
1898,260,3.9624,10.573512,1.85928,12.81684,8.85444
1898,260,3.9624,10.75944,1.92024,12.996672,9.034272
1898,260,3.9624,10.951464,0.762,13.210032,9.247632
1898,260,3.9624,11.027664,-1.03632,13.389864,9.427464
1898,260,3.9624,10.924032,-0.27432,13.575792,9.613392
1898,260,3.9624,10.8966,1.40208,13.798296,9.835896
1898,260,3.9624,11.036808,2.86512,14.029944,10.067544
1898,260,3.9624,11.32332,3.07848,14.209776,10.247376
1898,260,3.9624,11.631168,0.51816,14.322552,10.360152
1898,260,3.9624,11.682984,-1.58496,14.362176,10.399776
1898,260,3.9624,11.524488,-1.58496,14.404848,10.442448
1898,260,3.9624,11.365992,-0.24384,14.459712,10.497312
1898,260,3.9624,11.341608,2.19456,14.511528,10.549128
1898,260,3.9624,11.561064,4.7244,14.535912,10.573512
1898,260,3.9624,12.033504,5.66928,14.496288,10.533888
1898,260,3.9624,12.600432,4.54152,14.44752,10.48512
1898,260,3.9624,13.054584,2.5908,14.38656,10.42416
1898,260,3.9624,13.313664,0.97536,14.276832,10.314432
1898,260,3.9624,13.4112,0.1524,14.148816,10.186416
1898,260,3.9624,13.42644,-0.03048,14.0208,10.0584
1898,260,3.9624,13.423392,-0.67056,13.889736,9.927336
1898,260,3.9624,13.356336,-3.10896,13.755624,9.793224
1898,260,3.9624,13.04544,-5.76072,13.658088,9.695688
1898,260,3.9624,12.469368,-4.84632,13.679424,9.717024
1898,260,3.9624,11.984736,-1.43256,13.773912,9.811512
1898,260,3.9624,11.84148,1.9812,13.993368,10.030968
1898,260,3.9624,12.0396,3.32232,14.23416,10.27176
1898,260,3.9624,12.371832,1.6764,14.377416,10.415016
1898,260,3.9624,12.539472,0.3048,14.410944,10.448544
1898,260,3.9624,12.569952,0.18288,14.398752,10.436352
1898,260,3.9624,12.58824,-0.3048,14.368272,10.405872
1898,260,3.9624,12.55776,-1.09728,14.383512,10.421112
1898,260,3.9624,12.448032,-1.43256,14.481048,10.518648
1898,260,3.9624,12.304776,-0.94488,14.593824,10.631424
1898,260,3.9624,12.210288,-0.39624,14.666976,10.704576
1898,260,3.9624,12.170664,0.03048,14.712696,10.750296
1898,260,3.9624,12.173712,0.85344,14.785848,10.823448
1898,260,3.9624,12.259056,-0.94488,14.907768,10.945368
1898,260,3.9624,12.164568,-3.68808,15.032736,11.070336
1898,260,3.9624,11.79576,-0.09144,15.22476,11.26236
1898,260,3.9624,11.786616,5.6388,15.474696,11.512296
1898,260,3.9624,12.350496,10.14984,15.642336,11.679936
1898,260,3.9624,13.36548,10.78992,15.736824,11.774424
1898,260,3.9624,14.444472,4.78536,15.7734,11.811
1898,260,3.9624,14.923008,0.3048,15.6972,11.7348
1898,260,3.9624,14.953488,0,15.602712,11.640312
1898,260,3.9624,14.953488,-0.27432,15.492984,11.530584
1898,260,3.9624,14.926056,-0.9144,15.368016,11.405616
1898,260,3.9624,14.834616,-1.8288,15.24,11.2776
1898,260,3.9624,14.651736,-2.49936,15.127224,11.164824
1898,260,3.9624,14.4018,-2.22504,15.04188,11.07948
1898,260,3.9624,14.179296,-1.15824,14.993112,11.030712
1898,260,3.9624,14.063472,-0.03048,14.96568,11.00328
1898,260,3.9624,14.060424,0.762,14.962632,11.000232
1898,260,3.9624,14.136624,0.88392,14.877288,10.914888
1898,260,3.9624,14.225016,0.4572,14.743176,10.780776
1898,260,3.9624,14.270736,-0.27432,14.53896,10.57656
1898,260,3.9624,14.243304,-1.09728,14.392656,10.430256
1898,260,3.9624,14.133576,-1.31064,14.29512,10.33272
1898,260,3.9624,14.002512,-0.54864,14.267688,10.305288
1898,260,3.9624,13.947648,0.51816,14.194536,10.232136
1898,260,3.9624,13.999464,0.82296,14.084808,10.122408
1898,260,3.9624,14.08176,-0.21336,13.91412,9.95172
1898,260,3.9624,14.060424,-3.56616,13.703808,9.741408
1898,260,3.9624,13.703808,-6.30936,13.511784,9.549384
1898,260,3.9624,13.072872,-4.17576,13.399008,9.436608
1898,260,3.9624,12.655296,0.06096,13.328904,9.366504
1898,260,3.9624,12.661392,3.77952,13.335,9.3726
1898,260,3.9624,13.039344,4.78536,13.261848,9.299448
1898,260,3.9624,13.51788,1.95072,13.161264,9.198864
1898,260,3.9624,13.712952,0.06096,12.987528,9.025128
1898,260,3.9624,13.719048,0.03048,12.838176,8.875776
1898,260,3.9624,13.722096,-0.36576,12.688824,8.726424
1898,260,3.9624,13.68552,-1.31064,12.530328,8.567928
1898,260,3.9624,13.554456,-2.52984,12.35964,8.39724
1898,260,3.9624,13.301472,-3.5052,12.188952,8.226552
1898,260,3.9624,12.950952,-3.53568,12.05484,8.09244
1898,260,3.9624,12.597384,-2.56032,11.9634,8.001
1898,260,3.9624,12.341352,-0.79248,11.935968,7.973568
1898,260,3.9624,12.262104,1.24968,11.954256,7.991856
1898,260,3.9624,12.387072,2.95656,11.981688,8.019288
1898,260,3.9624,12.682728,3.9624,11.975592,8.013192
1898,260,3.9624,13.078968,3.93192,11.923776,7.961376
1898,260,3.9624,13.47216,3.048,11.835384,7.872984
1898,260,3.9624,13.77696,1.79832,11.698224,7.735824
1898,260,3.9624,13.956792,0.73152,11.530584,7.568184
1898,260,3.9624,14.029944,0.1524,11.3538,7.3914
1898,260,3.9624,14.045184,-0.12192,11.183112,7.220712
1898,260,3.9624,14.032992,-0.88392,11.021568,7.059168
1898,260,3.9624,13.9446,-2.10312,10.817352,6.854952
1898,260,3.9624,13.734288,-3.16992,10.579608,6.617208
1898,260,3.9624,13.417296,-3.26136,10.351008,6.388608
1898,260,3.9624,13.09116,-2.07264,10.18032,6.21792
1898,260,3.9624,12.883896,-0.79248,10.08888,6.12648
1898,260,3.9624,12.804648,-0.18288,9.988296,6.025896
1898,260,3.9624,12.78636,-1.2192,9.8298,5.8674
1898,260,3.9624,12.66444,-3.23088,9.634728,5.672328
1898,260,3.9624,12.341352,-3.048,9.476232,5.513832
1898,260,3.9624,12.036552,-1.40208,9.3726,5.4102
1898,260,3.9624,11.896344,0.36576,9.308592,5.346192
1898,260,3.9624,11.93292,1.55448,9.217152,5.254752
1898,260,3.9624,12.088368,1.18872,9.076944,5.114544
1898,260,3.9624,12.20724,1.28016,8.918448,4.956048
1898,260,3.9624,12.335256,2.56032,8.766048,4.803648
1898,260,3.9624,12.591288,3.59664,8.601456,4.639056
1898,260,3.9624,12.950952,3.44424,8.385048,4.422648
1898,260,3.9624,13.295376,1.9812,8.13816,4.17576
1898,260,3.9624,13.493496,0.36576,7.854696,3.892296
1898,260,3.9624,13.530072,-0.36576,7.583424,3.621024
1898,260,3.9624,13.493496,0,7.342632,3.380232
1898,260,3.9624,13.493496,1.40208,7.11708,3.15468
